epoch	loss	cls_acc	pred_pos_rate
115	0.643490	0.710710	0.445035
116	0.643259	0.710946	0.445271
117	0.643031	0.711418	0.445743
118	0.642807	0.711536	0.446334
119	0.642584	0.711772	0.446570
120	0.642363	0.712245	0.446806
121	0.642144	0.712363	0.446688
122	0.641927	0.712599	0.446924
123	0.641712	0.712363	0.446688
124	0.641499	0.712008	0.446806
125	0.641287	0.712245	0.447042
126	0.641076	0.712953	0.446806
127	0.640867	0.712481	0.446806
128	0.640660	0.712717	0.447278
129	0.640455	0.712599	0.447160
130	0.640251	0.712363	0.447633
131	0.640048	0.712363	0.447633
132	0.639845	0.712481	0.448223
133	0.639644	0.712717	0.448223
134	0.639444	0.712717	0.447987
135	0.639245	0.712835	0.447869
136	0.639047	0.712953	0.447751
137	0.638851	0.713189	0.447514
138	0.638657	0.714016	0.447396
139	0.638465	0.714370	0.447514
140	0.638272	0.714488	0.447633
141	0.638081	0.714606	0.447514
142	0.637890	0.714842	0.447514
143	0.637700	0.714960	0.447396
144	0.637512	0.714724	0.447869
145	0.637326	0.715197	0.448105
146	0.637141	0.715079	0.447987
147	0.636958	0.715315	0.447987
148	0.636775	0.715079	0.448459
149	0.636595	0.715197	0.448813
150	0.636417	0.715079	0.448931
151	0.636240	0.715079	0.448931
152	0.636065	0.715433	0.449049
153	0.635891	0.715905	0.449522
154	0.635717	0.715787	0.449640
155	0.635543	0.715433	0.449758
156	0.635369	0.715551	0.450112
157	0.635196	0.715433	0.450230
158	0.635024	0.715315	0.450112
159	0.634853	0.715433	0.450230
160	0.634682	0.715433	0.450230
161	0.634511	0.715551	0.450112
162	0.634341	0.715787	0.450348
163	0.634172	0.715905	0.450466
164	0.634002	0.716141	0.450466
165	0.633833	0.716023	0.450348
166	0.633663	0.715905	0.450703
167	0.633494	0.716023	0.451057
168	0.633326	0.716495	0.450584
169	0.633157	0.716732	0.450348
170	0.632988	0.716495	0.450584
171	0.632818	0.716732	0.450348
172	0.632647	0.716968	0.450112
173	0.632478	0.716614	0.450466
174	0.632309	0.716732	0.450584
175	0.632141	0.716732	0.450821
176	0.631973	0.716495	0.450584
177	0.631804	0.716732	0.451057
178	0.631637	0.716968	0.451057
179	0.631470	0.717322	0.451411
180	0.631304	0.717794	0.451647
181	0.631138	0.718267	0.451883
182	0.630970	0.718267	0.451883
183	0.630803	0.718503	0.451883
184	0.630636	0.718621	0.452001
185	0.630469	0.718503	0.451883
186	0.630303	0.718621	0.452001
187	0.630135	0.718621	0.452238
188	0.629967	0.718621	0.452474
189	0.629799	0.718975	0.452592
190	0.629631	0.718857	0.452710
191	0.629463	0.718975	0.453064
192	0.629294	0.719093	0.452946
193	0.629125	0.718857	0.453182
194	0.628955	0.719329	0.453418
195	0.628786	0.719684	0.453300
196	0.628615	0.720038	0.453182
197	0.628444	0.720392	0.453773
198	0.628274	0.720510	0.453891
199	0.628102	0.720392	0.454245
200	0.627931	0.720510	0.454363
