phase	epoch	train_loss	train_acc	val_loss	val_acc	train_reward	val_reward	elapsed_sec
SL	29	0.691317	0.689473	0.694854	0.689605	nan	nan	0.177
SL	30	0.689047	0.690755	0.693329	0.691801	nan	nan	0.179
SL	31	0.686811	0.691556	0.691847	0.691801	nan	nan	0.181
SL	32	0.684610	0.695241	0.690404	0.691069	nan	nan	0.183
SL	33	0.682443	0.697004	0.689009	0.691069	nan	nan	0.186
SL	34	0.680314	0.698446	0.687661	0.688141	nan	nan	0.188
SL	35	0.678223	0.699087	0.686364	0.691069	nan	nan	0.190
SL	36	0.676171	0.699888	0.685118	0.695461	nan	nan	0.192
SL	37	0.674158	0.700208	0.683916	0.693265	nan	nan	0.194
SL	38	0.672185	0.701330	0.682763	0.688873	nan	nan	0.196
SL	39	0.670252	0.702452	0.681654	0.688873	nan	nan	0.199
SL	40	0.668359	0.703894	0.680591	0.686676	nan	nan	0.201
SL	41	0.666507	0.704054	0.679570	0.687409	nan	nan	0.203
SL	42	0.664696	0.706137	0.678584	0.684480	nan	nan	0.205
SL	43	0.662933	0.706778	0.677638	0.687409	nan	nan	0.207
SL	44	0.661216	0.707419	0.676728	0.688873	nan	nan	0.209
SL	45	0.659543	0.708220	0.675856	0.688873	nan	nan	0.211
SL	46	0.657918	0.708540	0.675026	0.688141	nan	nan	0.214
SL	47	0.656342	0.708540	0.674238	0.685944	nan	nan	0.216
SL	48	0.654812	0.709502	0.673497	0.683748	nan	nan	0.219
SL	49	0.653333	0.709181	0.672793	0.685212	nan	nan	0.222
SL	50	0.651903	0.708861	0.672127	0.683748	nan	nan	0.224
SL	51	0.650520	0.710303	0.671509	0.684480	nan	nan	0.226
SL	52	0.649186	0.710944	0.670934	0.686676	nan	nan	0.228
SL	53	0.647904	0.710784	0.670400	0.686676	nan	nan	0.230
SL	54	0.646673	0.711585	0.669913	0.687409	nan	nan	0.232
SL	55	0.645491	0.712867	0.669469	0.688873	nan	nan	0.235
SL	56	0.644360	0.713828	0.669068	0.686676	nan	nan	0.237
